clip_name;video_name;dataset;source;url;fps;activity_label;action_id;start_time;end_time;duration;start_frame;end_frame;total_frames
americanfootball_clip_1;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;10000;15000;5;300;450;151
americanfootball_clip_2;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;16700;21000;4.3;500;629;130
americanfootball_clip_3;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;22900;29000;6.1;686;869;184
americanfootball_clip_4;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;30000;39000;9;899;1169;271
americanfootball_clip_5;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;56000;62500;6.5;1678;1873;196
americanfootball_clip_6;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;70500;81000;10.5;2113;2428;316
americanfootball_clip_7;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;83000;94000;11;2488;2817;330
americanfootball_clip_8;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;95500;106000;10.5;2862;3177;316
americanfootball_clip_9;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;110000;125000;15;3297;3746;450
americanfootball_clip_10;First Person Football: Scan the Field with Quarterback Tim Donnelly;EOAD;YouTube;https://www.youtube.com/watch?v=JY1LaTJM7Dk;29.97;americanfootball;1;126000;142000;16;3776;4256;481
americanfootball_clip_11;GoPro: KD Humphries, QB for Your Call Football;EOAD;YouTube;https://www.youtube.com/watch?v=LAiN3sGDhLg;30;americanfootball;1;23000;31500;8.5;690;945;256
americanfootball_clip_12;GoPro: KD Humphries, QB for Your Call Football;EOAD;YouTube;https://www.youtube.com/watch?v=LAiN3sGDhLg;30;americanfootball;1;36000;42500;6.5;1080;1275;196
americanfootball_clip_13;GoPro: KD Humphries, QB for Your Call Football;EOAD;YouTube;https://www.youtube.com/watch?v=LAiN3sGDhLg;30;americanfootball;1;43000;53000;10;1290;1590;301
americanfootball_clip_14;GoPro: KD Humphries, QB for Your Call Football;EOAD;YouTube;https://www.youtube.com/watch?v=LAiN3sGDhLg;30;americanfootball;1;72000;78500;6.5;2160;2355;196
americanfootball_clip_15;GoPro: KD Humphries, QB for Your Call Football;EOAD;YouTube;https://www.youtube.com/watch?v=LAiN3sGDhLg;30;americanfootball;1;94200;101000;6.8;2826;3030;205
americanfootball_clip_16;goPro Helmet Cam on Pitt Quarterback Tom Savage | PittLiveWire;EOAD;YouTube;https://www.youtube.com/watch?v=UGBExvpIHts;29.97;americanfootball;1;107000;122000;15;3207;3656;450
americanfootball_clip_17;goPro Helmet Cam on Pitt Quarterback Tom Savage | PittLiveWire;EOAD;YouTube;https://www.youtube.com/watch?v=UGBExvpIHts;29.97;americanfootball;1;132000;151000;19;3956;4525;570
americanfootball_clip_18;GoPro Helmet Cam on Pitt Running Back James Conner | PittLiveWire;EOAD;YouTube;https://www.youtube.com/watch?v=hcXTGliK43E;29.97;americanfootball;1;59000;64900;5.9;1768;1945;178
americanfootball_clip_19;GoPro Helmet Cam on Pitt Running Back James Conner | PittLiveWire;EOAD;YouTube;https://www.youtube.com/watch?v=hcXTGliK43E;29.97;americanfootball;1;74000;81000;7;2218;2428;211
americanfootball_clip_20;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;29000;35900;6.9;869;1076;208
americanfootball_clip_21;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;39000;47500;8.5;1169;1424;256
americanfootball_clip_22;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;54300;60000;5.7;1627;1798;172
americanfootball_clip_23;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;68300;77000;8.7;2047;2308;262
americanfootball_clip_24;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;151000;163000;12;4525;4885;361
americanfootball_clip_25;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;167000;178000;11;5005;5335;331
americanfootball_clip_26;GoPro on Junior QB Gary Moellerâ€™s helmet;EOAD;YouTube;https://www.youtube.com/watch?v=dK6SEOYzAnY;29.97;americanfootball;1;179000;189500;10.5;5365;5679;315
americanfootball_clip_27;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;86000;104000;18;2577;3117;541
americanfootball_clip_28;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;157000;177000;20;4705;5305;601
americanfootball_clip_29;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;333000;348000;15;9980;10430;451
americanfootball_clip_30;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;529000;540000;11;15854;16184;331
americanfootball_clip_31;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;600000;615000;15;17982;18432;451
americanfootball_clip_32;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;725000;741000;16;21728;22208;481
americanfootball_clip_33;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;776000;788000;12;23257;23616;360
americanfootball_clip_34;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;882000;895000;13;26434;26823;390
americanfootball_clip_35;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;1060000;1069000;9;31768;32038;271
americanfootball_clip_36;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;1313000;1327000;14;39351;39770;420
americanfootball_clip_37;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;1524000;1540000;16;45674;46154;481
americanfootball_clip_38;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;1716000;1726000;10;51429;51728;300
americanfootball_clip_39;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;1942000;1951000;9;58202;58471;270
americanfootball_clip_40;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2035000;2045000;10;60989;61289;301
americanfootball_clip_41;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2359000;2367000;8;70699;70939;241
americanfootball_clip_42;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2488000;2497000;9;74565;74835;271
americanfootball_clip_43;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2547000;2555000;8;76334;76573;240
americanfootball_clip_44;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2587000;2594000;7;77532;77742;211
americanfootball_clip_45;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2617000;2626000;9;78431;78701;271
americanfootball_clip_46;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2651000;2659000;8;79450;79690;241
americanfootball_clip_47;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2729000;2740000;11;81788;82118;331
americanfootball_clip_48;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2820000;2829000;9;84515;84785;271
americanfootball_clip_49;Helmet Cam - TOA vs Eagles;EOAD;YouTube;https://www.youtube.com/watch?v=nlsa7YUxvHA;29.97;americanfootball;1;2931000;2938000;7;87842;88052;211
